C , D, I, T, label
2.5329193e-08,1.1384806e-06,1.0599467e-06,4.5304714e-05,0
1.2638264e-08,1.0388767e-06,8.398844e-07,4.596409e-05,0
2.8413325e-08,5.5994246e-06,1.282052e-07,5.3761036e-05,0
1.8923204e-08,2.9224595e-06,2.3313607e-06,5.153934e-05,0
6.3941684e-08,4.840904e-06,1.9366196e-07,5.1611445e-05,0
1.5032061e-08,2.1777623e-06,3.168988e-06,5.7600326e-05,0
2.6397439e-08,1.3014744e-06,2.0672323e-07,5.9420945e-05,0
4.728814e-08,2.934077e-06,2.1638155e-06,5.766897e-05,0
3.7882682e-08,2.1406959e-06,9.913505e-07,5.253677e-05,0
3.7714845e-08,2.2214392e-06,1.2924711e-06,5.1510648e-05,0
6.779025e-08,1.6142808e-06,6.1371948e-06,5.346043e-05,0
3.2224715e-08,4.8950346e-07,2.1752871e-07,4.9188864e-05,0
2.0420043e-08,1.2941646e-06,2.8768716e-06,4.526921e-05,0
3.9932186e-08,1.0069496e-06,4.781523e-07,5.020176e-05,0
1.0174208e-08,1.090529e-06,2.8027327e-07,5.360863e-05,0
3.8012168e-08,2.4110434e-06,1.1357652e-06,5.0217423e-05,0
2.4766996e-08,1.4164063e-06,5.146103e-07,5.629416e-05,0
1.985061e-08,5.4455467e-07,1.9978424e-06,4.9478058e-05,0
6.477196e-08,1.9802487e-06,6.4899893e-07,5.077635e-05,0
1.5023003e-08,9.795888e-07,1.7628597e-06,4.7462443e-05,0
1.442691e-08,9.12446e-07,1.2642287e-06,5.1094503e-05,0
1.4802792e-08,1.3059628e-06,2.0720497e-06,5.0795e-05,0
3.3068215e-08,8.879072e-07,1.8120442e-06,5.590294e-05,0
1.920929e-08,2.2434788e-06,5.1916703e-07,5.062236e-05,0
1.3343092e-08,1.0395823e-06,1.0549005e-06,5.29739e-05,0
2.7403743e-08,1.000682e-06,1.0010266e-06,5.3765292e-05,0
2.1889505e-08,4.9390337e-07,1.1194874e-06,5.5488978e-05,0
3.453181e-08,2.3216473e-06,2.229804e-06,5.427027e-05,0
2.6527557e-08,9.646427e-07,1.2084174e-06,5.5253844e-05,0
4.4312745e-08,1.4510592e-06,4.6971895e-08,4.9267077e-05,0
4.032898e-08,1.4228671e-06,6.822413e-07,5.761384e-05,0
3.3657585e-08,1.1600276e-06,1.0935327e-06,6.3102525e-05,0
8.238477e-09,1.4799596e-06,4.870811e-07,5.580004e-05,0
8.866222e-08,1.9426998e-06,6.5498483e-07,5.7740235e-05,0
1.7192185e-08,1.6809765e-06,5.3429005e-07,4.6953104e-05,0
2.4526354e-08,1.5134902e-06,4.6083545e-07,5.6422774e-05,0
1.0506687e-08,2.080439e-06,2.5921336e-06,5.8587524e-05,0
5.2512295e-08,2.1095443e-06,1.6775718e-06,5.275294e-05,0
7.467717e-08,8.053975e-07,5.556226e-06,5.4860076e-05,0
2.9208936e-08,1.0453615e-06,2.5328625e-06,5.8960744e-05,0
8.01317e-09,1.1052986e-06,2.4070361e-05,5.3377084e-05,0
3.60043e-08,1.7687723e-06,5.5521737e-06,6.141671e-05,0
3.952542e-08,1.4593986e-06,2.7351243e-06,7.781595e-05,0
2.2140183e-08,1.268343e-06,2.8584145e-06,5.9767666e-05,0
1.5938431e-08,2.8431677e-06,7.5444024e-07,5.9947466e-05,0
1.4304322e-08,2.2201516e-06,4.781272e-07,5.341976e-05,0
2.4565916e-08,2.2146492e-06,1.3484507e-06,5.420758e-05,0
2.1485048e-08,9.516546e-07,1.1000176e-06,5.4391974e-05,0
1.8242298e-08,4.20627e-06,2.0007583e-07,5.6117497e-05,0
1.9261645e-08,7.8056297e-07,5.3214313e-07,5.9600952e-05,0
3.1475474e-07,2.6251759e-05,3.603993e-07,3.222585e-05,0
4.3948285e-07,9.3472545e-06,1.6971542e-07,3.505082e-05,0
6.895149e-07,1.7757779e-05,2.0716802e-06,3.2718115e-05,0
5.8590246e-07,1.5369167e-05,2.3751097e-07,3.295284e-05,0
4.06883e-07,9.6074755e-06,1.0163622e-07,3.341275e-05,0
5.478948e-07,8.416561e-06,6.069613e-08,3.0918214e-05,0
1.7671947e-07,1.5593041e-05,2.5985344e-07,3.467497e-05,0
8.966052e-07,4.6584546e-06,5.2383905e-07,3.3725708e-05,0
3.7840618e-07,1.012802e-05,1.0908619e-06,3.279427e-05,0
4.2922812e-07,3.9769748e-05,3.9154193e-07,3.0671996e-05,0
7.814873e-07,6.4560554e-05,1.9856844e-07,3.3513945e-05,0
5.255168e-07,9.578476e-06,1.799499e-07,3.271322e-05,0
4.947902e-07,2.8706214e-05,1.7923364e-07,3.1771026e-05,0
2.966202e-07,7.210529e-06,3.3017392e-07,3.30194e-05,0
7.8507657e-07,9.532319e-06,7.2274744e-08,3.1732026e-05,0
3.8775204e-07,3.7147398e-05,5.522842e-08,3.2538297e-05,0
7.00754e-07,8.433313e-06,4.2927235e-07,3.121846e-05,0
3.0232536e-07,8.3799314e-05,2.626654e-06,3.3163684e-05,0
4.088356e-07,4.3990236e-05,6.903532e-08,3.1190782e-05,0
2.0548374e-07,6.8126747e-06,3.6750964e-07,3.0091904e-05,0
1.15482706e-07,4.7406943e-06,1.5520377e-06,3.3829238e-05,0
2.9721397e-07,8.868487e-06,4.323051e-07,3.0005762e-05,0
2.0775272e-07,1.926764e-05,2.0565e-07,3.4274308e-05,0
5.9997524e-07,1.8104733e-05,4.6105964e-07,3.5516736e-05,0
7.979715e-07,7.4550453e-06,2.7061793e-07,3.4371133e-05,0
3.1247393e-07,1.1148666e-05,6.8935907e-07,3.1942032e-05,0
1.3671746e-07,3.4173914e-05,5.2037007e-07,3.2714994e-05,0
2.6647575e-07,2.3502373e-06,3.8943378e-07,3.164753e-05,0
1.3207784e-07,4.0128593e-06,1.0508354e-07,3.3249184e-05,0
4.856464e-07,0.00045773722,1.4104455e-07,2.8636328e-05,0
1.7833665e-07,4.1045078e-05,3.15208e-07,2.9257753e-05,0
3.3819788e-07,0.00022654927,1.4956579e-07,3.0083927e-05,0
